source_id,pdf_filename,pdf_title,pages,sha256,extracted_text_path,notes
SRC-005,Approved email - 20% bonus first deposit campaign.pdf,Client emails: 20% bonus first deposit campaign,18,44fb5b398949a3c912a3373b65023f86dd9f9d6eef01fe87906880f8f47e3b41,sources/extracted/approved-email-20-percent-first-deposit.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-006,Approved email - Jeton awareness campaign.pdf,Jeton Cross-Marketing Awareness Campaign (3% cashback),3,4c0e12f1acd54f9f009bbb23869042a499da86a16d8c9fd825bed655abb194d4,sources/extracted/approved-email-jeton-awareness.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-007,Approved email - July activation campaign.pdf,JULY ACTIVATION CAMPAIGN - CM Email/WA,2,b9d6341e3fb4542158a8aecb933ef81fa1ab6e1092e9c90eefef82798a9ea80e,sources/extracted/approved-email-july-activation.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-008,Approved email - Tiering program.pdf,Tiering emails,30,9a3d64c095daaa324e494072905d22af93339eff28525715b9082cca154d70a1,sources/extracted/approved-email-tiering-programme.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-009,Approved email - Tpaga awareness campaign.pdf,Payops | Tpaga Awareness Campaign,4,4577a48345d03a6b0db003c9a2fad680386139e36390323488919b9f29576f93,sources/extracted/approved-email-tpaga-awareness.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-001,Content style guide.pdf,20260714 - Content style guide,30,df2a517aec9dfcb58acabb4075423303cffe89559dd4641fa12cd4172c6c5cbb,sources/extracted/content-style-guide.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-002,Disclaimers and risk warning for emails.pdf,Disclaimers and Risk Warnings - Single Source of Truth,4,3cc4fb8dcf960e258a7ee9ae59c9900702460cd3a63e756cd495268d5f1381cc,sources/extracted/disclaimers-and-risk-warnings.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-003,Glossary - Deriv app.pdf,20260720 - Glossary - Master,77,d7e8663bae995ee0e7050c5e3db89e9076e5aca5d3608e3cf2ba49618970baf9,sources/extracted/glossary-deriv-app.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
SRC-004,Glossary - Deriv.com.pdf,20260720 - Glossary - Master,53,c8b81551aeb39224c18663d531803f17e11c6ae28d544e33b433fc4dc7babac0,sources/extracted/glossary-deriv-com.txt,PDF retained outside repository; extracted text included for local audit and retrieval.
